AN_LETIVO,NOME_DISTRITO,TIPO_ESCOLA,DRE,DESC_SERIE,MODALIDADE_SEGMENTO,TURMA_ESCOL,CD_ALUNO_SME,ANO_NASC_ALUNO,MES_NASC_ALUNO,CD_SEXO,DESC_RACA_COR,DESC_PAIS_NASC,SITUACAO_MAT
2011,PIRITUBA,MOVA        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,MOVA,MOVA,S,5046433,1940,3,F,NAO DECLARADA,PORTUGAL,Concluido
2011,ERMELINO MATARAZZO,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,5025477,2000,12,M,NAO DECLARADA,BOLIVIA,Concluido
2011,VILA GUILHERME,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.I 1.ANO F9,Fund1,S,4846525,2004,10,F,BRANCA,BOLIVIA,Concluido
2011,VILA GUILHERME,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.I 4.ANO,Fund1,S,4126936,2001,4,M,PARDA,BOLIVIA,Concluido
2011,VILA GUILHERME,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.I 4.ANO,Fund1,S,4318955,2000,5,M,PARDA,BOLIVIA,Concluido
2011,VILA JACUI,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,INFANTIL II,PRE,S,4414770,2005,10,M,BRANCA,BOLIVIA,Concluido
2011,VILA CURUCA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,C.II 1.ANO,Fund2,S,3183530,2000,6,F,PARDA,PARAGUAI,Concluido
2011,PIRITUBA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,C.II 2.ANO,Fund2,S,3746795,1998,8,F,NAO DECLARADA,BOLIVIA,Concluido
2011,VILA MARIA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.I 4.ANO,Fund1,S,3186749,2001,1,F,PARDA,BOLIVIA,Concluido
2011,VILA MEDEIROS,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 2.ANO,Fund2,S,3197024,1999,9,M,INDIGENA,BOLIVIA,Concluido
2011,PONTE RASA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,3203682,2000,12,M,PARDA,BOLIVIA,Concluido
2011,CIDADE LIDER,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,C.II 2.ANO,Fund2,S,3208970,1999,4,M,BRANCA,JAPAO,Concluido
2011,VILA MEDEIROS,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 1.ANO,Fund2,S,3216564,2000,4,F,BRANCA,BOLIVIA,Concluido
2011,RAPOSO TAVARES,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,C.II 1.ANO,Fund2,S,3218515,2000,7,F,BRANCA,JAPAO,Concluido
2011,ARTUR ALVIM,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.I 4.ANO,Fund1,S,3218647,2001,3,M,PARDA,BOLIVIA,Concluido
2011,VILA MEDEIROS,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 1.ANO,Fund2,S,3223172,2000,9,M,PARDA,BOLIVIA,Concluido
2011,SACOMA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,C.II 2.ANO,Fund2,S,3230151,1999,7,M,BRANCA,JAPAO,Concluido
2011,RIO PEQUENO,MOVA        ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,MOVA,MOVA,S,288128,1937,10,F,BRANCA,PORTUGAL,Concluido
2011,PIRITUBA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,C.II 2.ANO,Fund2,S,3256171,1999,8,M,NAO DECLARADA,EQUADOR,Concluido
2011,RIO PEQUENO,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,C.II 1.ANO,Fund2,S,3260934,2000,10,F,BRANCA,JAPAO,Concluido
2011,CAMPO LIMPO,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO,C.I 3.ANO,Fund1,S,3753380,2002,1,M,PARDA,INGLATERRA,Concluido
2011,ITAIM PAULISTA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,C.II 2.ANO,Fund2,S,3340308,1998,9,M,PARDA,BOLIVIA,Concluido
2011,VILA CURUCA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,C.I 3.ANO,Fund1,S,3754379,2002,12,M,BRANCA,JAPAO,Concluido
2011,BRASILANDIA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,C.II 2.ANO,Fund2,S,3350355,1999,11,M,AMARELA,BOLIVIA,Concluido
2011,CANGAIBA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,3361278,2000,11,F,PARDA,BOLIVIA,Concluido
2011,VILA MARIA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 2.ANO,Fund2,S,3364112,1999,8,F,BRANCA,BOLIVIA,Concluido
2011,PARI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 2.ANO,Fund2,S,3376694,1999,6,M,BRANCA,ARGENTINA,Concluido
2011,AGUA RASA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 2.ANO,Fund2,S,3379678,1999,7,M,BRANCA,BOLIVIA,Concluido
2011,CACHOEIRINHA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,C.II 1.ANO,Fund2,S,3384802,2000,11,F,PARDA,BOLIVIA,Concluido
2011,TUCURUVI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 3.ANO,Fund2,S,3405347,1997,11,M,BRANCA,BOLIVIA,Concluido
2011,PARI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 4.ANO,Fund2,S,3407278,1997,11,F,NAO DECLARADA,PARAGUAI,Concluido
2011,ARTUR ALVIM,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 3.ANO,Fund2,S,3408745,1998,9,M,NAO DECLARADA,BOLIVIA,Concluido
2011,VILA MATILDE,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 2.ANO,Fund2,S,3416827,1999,6,M,PARDA,BOLIVIA,Concluido
2011,LAJEADO,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO GUAIANASES,C.II 1.ANO,Fund2,S,3417600,2000,6,M,PARDA,BOLIVIA,Concluido
2011,JACANA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.I 4.ANO,Fund1,S,3422399,2000,7,M,AMARELA,BOLIVIA,Concluido
2011,ARTUR ALVIM,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,3763934,1999,2,F,NAO DECLARADA,BOLIVIA,Concluido
2011,CASA VERDE,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,C.II 2.ANO,Fund2,S,3428984,1999,9,M,BRANCA,BOLIVIA,Concluido
2011,TUCURUVI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.I 4.ANO,Fund1,S,3440398,2001,4,M,BRANCA,JAPAO,Concluido
2011,CANGAIBA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 2.ANO,Fund2,S,3764522,1999,11,F,NAO DECLARADA,BOLIVIA,Concluido
2011,PARI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 4.ANO,Fund2,S,3441149,1997,3,M,PRETA,ANGOLA,Concluido
2011,PARI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,3442572,2000,6,M,BRANCA,BOLIVIA,Concluido
2011,BRASILANDIA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,EJA 4 ETAPA,EJA5A8,S,3456605,1995,9,F,PARDA,PERU,Concluido
2011,MOOCA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,3457075,2000,8,F,PARDA,BOLIVIA,Concluido
2011,SAO RAFAEL,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,C.II 4.ANO,Fund2,S,3458662,1997,9,F,INDIGENA,BOLIVIA,Concluido
2011,ERMELINO MATARAZZO,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 1.ANO,Fund2,S,3459343,2000,9,F,PARDA,BOLIVIA,Concluido
2011,VILA JACUI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,C.II 1.ANO,Fund2,S,3460000,2000,8,F,PARDA,BOLIVIA,Concluido
2011,VILA MARIA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 3.ANO,Fund2,S,3465513,1998,7,M,BRANCA,BOLIVIA,Concluido
2011,MOOCA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,C.II 2.ANO,Fund2,S,3466445,1999,9,M,BRANCA,BOLIVIA,Concluido
2011,CASA VERDE,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,C.I 4.ANO,Fund1,S,3767954,2001,6,M,PARDA,BOLIVIA,Concluido
2011,IGUATEMI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,C.II 1.ANO,Fund2,S,3467696,2000,10,F,PARDA,BOLIVIA,Concluido
2011,LIMAO,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,C.I 4.ANO,Fund1,S,3480057,2001,2,M,PARDA,BOLIVIA,Concluido
2011,VILA JACUI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,C.II 1.ANO,Fund2,S,3770145,1999,7,M,PARDA,BOLIVIA,Concluido
2011,SAPOPEMBA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,C.II 2.ANO,Fund2,S,3482708,1999,5,F,PARDA,CHILE,Concluido
2011,VILA MEDEIROS,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 4.ANO,Fund2,S,3482734,1996,9,M,AMARELA,BOLIVIA,Concluido
2011,CIDADE LIDER,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,C.II 1.ANO,Fund2,S,3483401,2000,3,F,PARDA,BOLIVIA,Concluido
2011,BRASILANDIA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,C.II 1.ANO,Fund2,S,3485500,2000,3,F,PARDA,BOLIVIA,Concluido
2011,SANTANA,EMEFM       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,2A.SER.E.M.,MEDIO,S,1386832,1995,5,F,BRANCA,PORTUGAL,Concluido
2011,TUCURUVI,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,C.II 2.ANO,Fund2,S,3519592,1999,5,M,BRANCA,BOLIVIA,Concluido
2011,PIRITUBA,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,C.II 2.ANO,Fund2,S,3775375,1999,11,M,NAO DECLARADA,BOLIVIA,Concluido
